ID,date,yield,conductivity,bacteria,gram,type,rum_index_seconds,water_intake_liter,Event
6954,2024-01-30,48.6,9.1,MBG,P,C,29064.75,19.96,[]
6965,2024-01-30,22.4,9.0,MBG,P,C,25986.458333333332,21.51,[]
7038,2024-01-30,24.9,9.1,SC,P,E,24440.708333333332,17.97,[]
7056,2024-01-30,21.7,9.4,SD,P,E,29598.5,18.24,[]
7146,2024-01-30,59.6,8.4,CON,P,C,33799.416666666664,8.77,[]
7168,2024-01-30,62.5,8.9,MBG,P,C,29003.833333333332,0.0,[]
7285,2024-01-30,48.3,8.8,CON,P,C,30515.083333333332,0.0,[]
7289,2024-01-31,20.6,9.6,MBG,P,C,26496.958333333332,39.7,[]
8068,2024-01-30,43.4,8.7,CON,P,C,24657.916666666668,27.37,[]
8468,2024-01-30,44.3,8.7,CON,P,C,27371.083333333332,0.0,[]
9119,2024-01-30,37.0,9.7,SC,P,E,26243.541666666668,0.0,[]
9181,2024-01-30,51.9,9.7,SD,P,E,29148.666666666668,21.31,[]
9565,2024-01-30,41.2,8.1,Coryne,P,E,22118.583333333332,55.129999999999995,[]
9575,2024-01-30,42.5,8.0,MBG,P,C,24623.25,0.0,[]
50068,2024-01-30,77.6,9.6,CON,P,C,28303.875,0.0,[]
50130,2024-01-30,28.1,8.2,MBG,P,C,21031.791666666668,32.61,[]
50142,2024-01-30,29.1,8.8,MBG,P,C,24650.333333333332,0.0,[]
2400,2024-01-31,56.5,9.1,CON,P,C,31563.708333333332,18.75,[]
3990,2024-01-31,69.2,9.5,MBG,P,C,25782.833333333332,39.36,[]
4192,2024-02-01,81.3,9.5,CON,P,C,33836.708333333336,21.35,[]
4232,2024-01-31,59.0,9.2,SA,P,C,24384.458333333332,20.23,[]
4384,2024-01-31,49.8,10.2,MBG,P,C,28320.583333333332,0.0,[]
4468,2024-01-31,,,CON,P,C,28418.625,53.11,[]
4737,2024-01-31,21.8,9.0,CON,P,C,32197.666666666668,16.99,[]
4889,2024-01-31,45.4,8.6,CON,P,C,29390.166666666668,0.0,[]
5110,2024-01-31,61.5,9.2,MBG,P,C,27324.25,0.0,[]
5211,2024-01-31,68.7,9.7,CON,P,C,31013.875,0.0,[]
5288,2024-01-31,58.1,8.8,CON,P,C,26656.291666666668,15.64,[]
5449,2024-02-01,90.1,9.3,CON,P,C,34028.125,0.0,[]
5607,2024-02-01,55.1,9.6,MBG,P,C,31306.0,37.86,[]
6190,2024-01-31,51.1,8.8,MBG,P,C,26579.041666666668,55.61,[]
6422,2024-01-31,43.8,11.0,MBG,P,C,27112.0,0.0,[]
6954,2024-01-31,27.9,9.2,MBG,P,C,29783.75,15.97,[]
6965,2024-01-31,43.3,9.0,MBG,P,C,25520.041666666668,12.3,[]
7038,2024-01-31,56.2,9.2,SC,P,E,23203.083333333332,44.32,[]
7056,2024-01-31,33.6,9.2,SD,P,E,28816.75,27.009999999999998,['LAB']
7146,2024-01-31,58.0,8.4,CON,P,C,35912.166666666664,0.0,[]
